Year,GEO ID,State Abbreviation,State,County,"Percent Living in
Poverty","Percent Less than
High School
Education","Median Household
Income",Gini Coefficient,"Percent Uninsured
Under 65 Years Old","Percent
Unemployed","Percent Living with
Severe Housing
Cost Burden",Syphilis Rate,"2023 County
Urbanicity",Urbanicity Year,SDOH Year,"Unemployment
Year"
2023,1001,AL,Alabama,Autauga County,10.7,9.7,69841,0.4515,8.7,2.2,9.8,37,Urban,2023,2023,2023
2023,1003,AL,Alabama,Baldwin County,10.5,8.3,75019,0.4589,10.1,2.3,11.6,15,Urban,2023,2023,2023
2023,1005,AL,Alabama,Barbour County,21.9,22.2,44290,0.5061,13.8,4.4,10.7,37,Rural,2023,2023,2023
2023,1007,AL,Alabama,Bibb County,20.5,19.7,51215,0.4526,10.1,2.5,11,9,Urban,2023,2023,2023
2023,1009,AL,Alabama,Blount County,14.1,17.3,61096,0.4461,12.5,2.1,9.4,2,Urban,2023,2023,2023
2023,1011,AL,Alabama,Bullock County,25.7,26,36723,0.4981,15.9,2.4,18.3,10,Rural,2023,2023,2023
2023,1013,AL,Alabama,Butler County,21,12.4,44881,0.4969,15.4,2.9,10.4,33,Rural,2023,2023,2023
2023,1015,AL,Alabama,Calhoun County,17.5,13.9,55826,0.4586,13.4,2.8,11,12,Urban,2023,2023,2023
2023,1017,AL,Alabama,Chambers County,15.5,16.4,49295,0.4367,15,2.4,9.7,9,Rural,2023,2023,2023
2023,1019,AL,Alabama,Cherokee County,14.5,16.1,50769,0.4541,11.6,2.4,7.4,4,Rural,2023,2023,2023
2023,1021,AL,Alabama,Chilton County,13.6,15.8,61873,0.4259,12.1,2.2,10.3,2,Urban,2023,2023,2023
2023,1023,AL,Alabama,Choctaw County,19.5,15.8,44483,0.4554,10.6,4,10.9,41,Rural,2023,2023,2023
2023,1025,AL,Alabama,Clarke County,20.5,14.7,49167,0.5221,10.1,5,9.9,58,Rural,2023,2023,2023
2023,1027,AL,Alabama,Clay County,16.5,17.2,51852,0.464,10.5,2.4,6.3,21,Rural,2023,2023,2023
2023,1029,AL,Alabama,Cleburne County,13.2,14.6,53319,0.4538,11,2.3,6.9,13,Rural,2023,2023,2023
2023,1031,AL,Alabama,Coffee County,17.6,14,64672,0.4451,12.5,2.5,11.9,25,Rural,2023,2023,2023
2023,1033,AL,Alabama,Colbert County,16.9,12.5,56736,0.453,9.2,2.9,11.5,24,Urban,2023,2023,2023
2023,1035,AL,Alabama,Conecuh County,27.6,12.5,42266,0.4827,10.8,3.5,10.9,27,Rural,2023,2023,2023
2023,1037,AL,Alabama,Coosa County,11.6,17.2,57063,0.3946,9.8,2.6,3.3,20,Rural,2023,2023,2023
2023,1039,AL,Alabama,Covington County,18,13.8,50886,0.4934,13.1,2.7,9.8,79,Rural,2023,2023,2023
2023,1041,AL,Alabama,Crenshaw County,16.2,17.4,49040,0.5108,11.1,2.7,11.6,69,Rural,2023,2023,2023
2023,1043,AL,Alabama,Cullman County,13.9,15,60916,0.4372,13,2,9.1,7,Rural,2023,2023,2023
2023,1045,AL,Alabama,Dale County,18.7,14.3,53955,0.4498,13.4,2.5,10.4,78,Rural,2023,2023,2023
2023,1047,AL,Alabama,Dallas County,29,12.9,36810,0.5047,11.4,5.4,17.8,61,Rural,2023,2023,2023
2023,1049,AL,Alabama,DeKalb County,20.4,21.1,51149,0.4417,17.8,2.3,8.1,4,Rural,2023,2023,2023
2023,1051,AL,Alabama,Elmore County,10.3,10.4,75553,0.4359,9.2,2.1,9.3,25,Urban,2023,2023,2023
2023,1053,AL,Alabama,Escambia County,21.2,17.5,44447,0.4684,14,3.1,12,36,Rural,2023,2023,2023
2023,1055,AL,Alabama,Etowah County,17.1,14.2,53070,0.4765,14.8,2.8,12.1,8,Urban,2023,2023,2023
2023,1057,AL,Alabama,Fayette County,18.7,14.8,50733,0.4646,10,2.9,9.9,0,Rural,2023,2023,2023
2023,1059,AL,Alabama,Franklin County,17.4,20.5,51493,0.4373,13.8,2.6,8.9,9,Rural,2023,2023,2023
2023,1061,AL,Alabama,Geneva County,19.1,16.8,50951,0.4222,15.9,2.4,9.3,63,Urban,2023,2023,2023
2023,1063,AL,Alabama,Greene County,35.9,18,31495,0.4879,18.1,4.8,13.9,27,Urban,2023,2023,2023
2023,1065,AL,Alabama,Hale County,23.9,18.1,41325,0.4965,7.2,3.3,15.4,34,Urban,2023,2023,2023
2023,1067,AL,Alabama,Henry County,15.8,17.8,60135,0.4785,10.2,2.6,8.2,11,Urban,2023,2023,2023
2023,1069,AL,Alabama,Houston County,18,12.6,57531,0.4788,14.1,2.6,13.1,45,Urban,2023,2023,2023
2023,1071,AL,Alabama,Jackson County,16.8,17.9,49454,0.4464,13.2,2.5,9.5,13,Rural,2023,2023,2023
2023,1073,AL,Alabama,Jefferson County,16.3,9,64589,0.5102,10.8,2.5,16,44,Urban,2023,2023,2023
2023,1075,AL,Alabama,Lamar County,15.1,16.1,47447,0.4273,11.6,2.8,6.4,7,Rural,2023,2023,2023
2023,1077,AL,Alabama,Lauderdale County,13.6,10.7,59082,0.4583,12.1,2.5,11.2,10,Urban,2023,2023,2023
2023,1079,AL,Alabama,Lawrence County,13.7,15.4,60040,0.4382,11.3,2.3,6.6,6,Urban,2023,2023,2023
2023,1081,AL,Alabama,Lee County,18.9,8.6,61123,0.5057,9.9,2.3,17.4,18,Urban,2023,2023,2023
2023,1083,AL,Alabama,Limestone County,10.1,12.4,83534,0.4263,9.6,2.1,7.7,23,Urban,2023,2023,2023
2023,1085,AL,Alabama,Lowndes County,29.6,16.8,35160,0.5368,9.8,4.6,17.6,62,Urban,2023,2023,2023
2023,1087,AL,Alabama,Macon County,22.1,15.8,45951,0.4794,11.3,3.2,16.3,33,Urban,2023,2023,2023
2023,1089,AL,Alabama,Madison County,10.5,7.4,83528,0.4659,9,2,10.6,15,Urban,2023,2023,2023
2023,1091,AL,Alabama,Marengo County,22.6,14.4,44205,0.5148,10.7,3.3,9.5,64,Rural,2023,2023,2023
2023,1093,AL,Alabama,Marion County,16.8,17.9,50714,0.4586,12.8,2.9,7.1,17,Rural,2023,2023,2023
2023,1095,AL,Alabama,Marshall County,16.3,15.6,60946,0.4588,13.7,2.1,9,16,Rural,2023,2023,2023
2023,1097,AL,Alabama,Mobile County,16.3,11,58119,0.4649,12.9,3.1,14,55,Urban,2023,2023,2023
2023,1099,AL,Alabama,Monroe County,22.6,16.4,40225,0.4692,14.1,4.3,10.6,10,Rural,2023,2023,2023
2023,1101,AL,Alabama,Montgomery County,19.3,11.2,58153,0.4842,12.5,2.8,17.4,84,Urban,2023,2023,2023
2023,1103,AL,Alabama,Morgan County,13.6,14.9,64858,0.4473,13.6,2,10,9,Urban,2023,2023,2023
2023,1105,AL,Alabama,Perry County,31.2,17.8,34368,0.366,9.4,5,6.5,0,Rural,2023,2023,2023
2023,1107,AL,Alabama,Pickens County,22.6,16.1,47014,0.4626,11.2,3,11,32,Urban,2023,2023,2023
2023,1109,AL,Alabama,Pike County,23.4,12.4,47961,0.4952,9.6,2.7,16.7,27,Rural,2023,2023,2023
2023,1111,AL,Alabama,Randolph County,18.4,16.4,51551,0.4749,11.2,2.4,10.4,9,Rural,2023,2023,2023
2023,1113,AL,Alabama,Russell County,22.2,14.2,50046,0.4683,13.3,2.8,16.9,41,Urban,2023,2023,2023
2023,1115,AL,Alabama,St. Clair County,11.2,12.4,78993,0.4003,8.8,2.1,7,9,Urban,2023,2023,2023
2023,1117,AL,Alabama,Shelby County,6.9,6,93543,0.4454,7.9,1.8,10,11,Urban,2023,2023,2023
2023,1119,AL,Alabama,Sumter County,28.1,12,37981,0.4488,11.3,3.7,14.5,26,Rural,2023,2023,2023
2023,1121,AL,Alabama,Talladega County,17.7,15.5,56249,0.4681,10.3,2.8,12.7,15,Rural,2023,2023,2023
2023,1123,AL,Alabama,Tallapoosa County,15.2,16.2,57185,0.4748,11.4,2.5,8.6,20,Rural,2023,2023,2023
2023,1125,AL,Alabama,Tuscaloosa County,16.7,9.1,63947,0.4671,7.7,2.3,14.7,25,Urban,2023,2023,2023
2023,1127,AL,Alabama,Walker County,18,17.1,54509,0.4518,14.3,2.6,10.6,12,Urban,2023,2023,2023
2023,1129,AL,Alabama,Washington County,18.4,11.3,60503,0.4713,9.7,2.6,8.9,7,Rural,2023,2023,2023
2023,1131,AL,Alabama,Wilcox County,29,22.1,42236,0.4953,11.5,8,17.9,30,Rural,2023,2023,2023
2023,1133,AL,Alabama,Winston County,19.5,21.2,48032,0.4597,12,2.7,8.1,0,Rural,2023,2023,2023
2023,2013,AK,Alaska,"Aleutians East
Borough",12.4,16.1,72692,0.3953,39.5,2.1,11.3,0,Rural,2023,2023,2023
2023,2016,AK,Alaska,"Aleutians West
Census Area",9.2,9.5,107344,0.3462,18.6,3,9.2,0,Rural,2023,2023,2023
2023,2020,AK,Alaska,"Anchorage
Municipality",9.3,6,98152,0.4327,11.3,3.4,13.2,34,Urban,2023,2023,2023
2023,2050,AK,Alaska,Bethel Census Area,24,18.1,70616,0.453,13.8,9.7,10.3,11,Rural,2023,2023,2023
2023,2060,AK,Alaska,Bristol Bay Borough,9.7,5,100625,0.4307,22.4,3.7,4.4,0,Rural,2023,2023,2023
2023,2063,AK,Alaska,"Chugach Census
Area",4.8,4.3,88565,0.3634,16.1,4.7,5.9,0,Rural,2023,2023,2023
2023,2066,AK,Alaska,"Copper River
Census Area",11.4,9,75053,0.4087,21.5,7.6,5.4,37,Rural,2023,2023,2023
2023,2068,AK,Alaska,Denali Borough,6.6,6.6,88935,0.4018,5.6,6,8.8,0,Rural,2023,2023,2023
2023,2070,AK,Alaska,"Dillingham Census
Area",16.3,12.6,74250,0.4149,18.5,6.4,8.2,87,Rural,2023,2023,2023
2023,2090,AK,Alaska,"Fairbanks North Star
Borough",6.2,5.1,84722,0.4243,10.3,3.8,12.7,42,Urban,2023,2023,2023
2023,2100,AK,Alaska,Haines Borough,6.1,1.6,72607,0.4264,11.7,6.6,12,0,Rural,2023,2023,2023
2023,2105,AK,Alaska,"Hoonah-Angoon
Census Area",12.6,6.5,62500,0.4606,27,5.6,7.3,44,Rural,2023,2023,2023
2023,2110,AK,Alaska,"Juneau City and
Borough",8.2,5.3,100513,0.4157,9.4,3,12.8,6,Rural,2023,2023,2023
2023,2122,AK,Alaska,"Kenai Peninsula
Borough",11.6,5.7,77722,0.4578,14.4,4.7,12,8,Rural,2023,2023,2023
2023,2130,AK,Alaska,"Ketchikan Gateway
Borough",9.5,5.1,89155,0.4318,11.2,3.7,15,0,Rural,2023,2023,2023
2023,2150,AK,Alaska,"Kodiak Island
Borough",7.7,7.5,83716,0.4154,10.7,4.4,13.9,0,Rural,2023,2023,2023
2023,2158,AK,Alaska,"Kusilvak Census
Area",31.2,19,48233,0.4404,11.9,15.1,11.8,0,Rural,2023,2023,2023
2023,2164,AK,Alaska,"Lake and Peninsula
Borough",15.2,8.9,64000,0.4177,34.6,5.9,5.9,0,Rural,2023,2023,2023
2023,2170,AK,Alaska,"Matanuska-Susitna
Borough",10.3,5.7,90625,0.4191,13.9,4.8,12.2,4,Urban,2023,2023,2023
2023,2180,AK,Alaska,Nome Census Area,21.1,11.4,76643,0.4431,16,7.7,9.4,0,Rural,2023,2023,2023
