"GEO
ID",County,State,"State
Abbreviation","County
PrEP
Users","County
PrEP
Rate","County
PrEP
Rate
Stability","Male
PrEP
Users","Male
PrEP
Rate","Male
PrEP
Rate
Stability","Female
PrEP
Users","Female
PrEP
Rate","Female
PrEP
Rate
Stability","Age
LE 24
PrEP
Users","Age
LE
24
PrEP
Rate","Age LE
24 PrEP
Rate
Stability","Age
25-34
PrEP
Users","Age
25-34
PrEP
Rate","Age
25-34
PrEP
Rate
Stability","Age
35-44
PrEP
Users","Age
35-44
PrEP
Rate","Age
35-44
PrEP
Rate
Stability","Age
45-54
PrEP
Users","Age
45-54
PrEP
Rate","Age
45-54
PrEP
Rate
Stability","Age
55-64
PrEP
Users","Age
55-64
PrEP
Rate","Age
55-64
PrEP
Rate
Stability","Age
65+
PrEP
Users","Age
65+
PrEP
Rate","Age 65+
PrEP
Rate
Stability",Year
1001,Autauga County,Alabama,AL,20,40,Y,17,70,Y,4,15,N,4,46,N,9,116,N,5,62,N,-1,-1,-9,-1,-1,-9,-1,-1,-9,2023
1003,Baldwin County,Alabama,AL,113,52,Y,104,99,Y,10,9,N,16,47,Y,38,136,Y,28,92,Y,18,56,Y,11,31,N,6,11,N,2023
1005,Barbour County,Alabama,AL,11,52,N,-1,-1,-9,-1,-1,-9,-1,-1,-9,5,155,N,3,96,N,-1,-1,-9,-1,-1,-9,-1,-1,-9,2023
1007,Bibb County,Alabama,AL,16,85,Y,-1,-1,-9,-1,-1,-9,4,136,N,6,193,N,3,104,N,3,101,N,-1,-1,-9,-1,-1,-9,2023
1009,Blount County,Alabama,AL,37,74,Y,33,133,Y,4,16,N,-1,-1,-9,13,182,Y,7,98,N,6,78,N,3,38,N,-1,-1,-9,2023
1011,Bullock County,Alabama,AL,4,47,N,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,2023
1013,Butler County,Alabama,AL,8,51,N,-1,-1,-9,-1,-1,-9,-1,-1,-9,4,193,N,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,2023
1015,Calhoun County,Alabama,AL,64,65,Y,61,128,Y,3,6,N,15,75,Y,23,155,Y,11,79,N,8,59,N,9,62,N,0,0,-9,2023
1017,Chambers County,Alabama,AL,21,72,Y,-1,-1,-9,-1,-1,-9,5,105,N,10,236,N,5,135,N,3,70,N,-1,-1,-9,-1,-1,-9,2023
1019,Cherokee County,Alabama,AL,12,54,Y,-1,-1,-9,-1,-1,-9,-1,-1,-9,6,210,N,3,118,N,-1,-1,-9,-1,-1,-9,-1,-1,-9,2023
