"X","year","geoid","state","state_abbreviation","county_name","new_diagnoses_cases","new_diagnoses_cases_bin","new_diagnoses_rate","new_diagnoses_rate_stability","new_diagnoses_male_rate","new_diagnoses_male_rate_stability","new_diagnoses_male_cases","new_diagnoses_female_rate","new_diagnoses_female_rate_stability","new_diagnoses_female_cases","new_diagnoses_black_rate","new_diagnoses_black_rate_stability","new_diagnoses_black_cases","new_diagnoses_white_rate","new_diagnoses_white_rate_stability","new_diagnoses_white_cases","new_diagnoses_hispanic_rate","new_diagnoses_hispanic_rate_stability","new_diagnoses_hispanic_cases","new_diagnoses_asian_rate","new_diagnoses_asian_rate_stability","new_diagnoses_asian_cases","new_diagnoses_american_indian_alaska_native_rate","new_diagnoses_american_indian_alaska_native_rate_stability","new_diagnoses_american_indian_alaska_native_cases","new_diagnoses_multiple_races_rate","new_diagnoses_multiple_races_rate_stability","new_diagnoses_multiple_races_cases","new_diagnoses_native_hawaiian_other_pacific_islander_rate","new_diagnoses_native_hawaiian_other_pacific_islander_rate_stability","new_diagnoses_native_hawaiian_other_pacific_islander_cases","new_diagnoses_age_13_24_rate","new_diagnoses_age_13_24_rate_stability","new_diagnoses_age_13_24_cases","new_diagnoses_age_25_34_rate","new_diagnoses_age_25_34_rate_stability","new_diagnoses_age_25_34_cases","new_diagnoses_age_35_44_rate","new_diagnoses_age_35_44_rate_stability","new_diagnoses_age_35_44_cases","new_diagnoses_age_45_54_rate","new_diagnoses_age_45_54_rate_stability","new_diagnoses_age_45_54_cases","new_diagnoses_age_55_64_rate","new_diagnoses_age_55_64_rate_stability","new_diagnoses_age_55_64_cases","new_diagnoses_age_65_rate","new_diagnoses_age_65_rate_stability","new_diagnoses_age_65_cases","correctional_facility_warning","county_prep_users","county_prep_rate","county_prep_rate_stability","male_prep_users","male_prep_rate","male_prep_rate_stability","female_prep_users","female_prep_rate","female_prep_rate_stability","age_le_24_prep_users","age_le_24_prep_rate","age_le_24_prep_rate_stability","age_25_34_prep_users","age_25_34_prep_rate","age_25_34_prep_rate_stability","age_35_44_prep_users","age_35_44_prep_rate","age_35_44_prep_rate_stability","age_45_54_prep_users","age_45_54_prep_rate","age_45_54_prep_rate_stability","age_55_64_prep_users","age_55_64_prep_rate","age_55_64_prep_rate_stability","age_65_prep_users","age_65_prep_rate","age_65_prep_rate_stability","percent_living_in_poverty","percent_less_than_high_school_education","median_household_income","gini_coefficient","percent_uninsured_under_65_years_old","percent_unemployed","percent_living_with_severe_housing_cost_burden","syphilis_rate","county_urbanicity"
1,2023,6001,"California","CA","Alameda County",194,"High HIV diagnoses",14,"Y",24,"Y",162,5,"Y",32,38,"Y",52,7,"Y",28,28,"Y",88,4,"Y",17,0,NA,0,13.9,"N",7,18,"N",2,15,"Y",32,28,"Y",69,19,"Y",49,10,"Y",21,8,"Y",16,3,"N",7,0,2856,204,"Y",2558,371,"Y",300,42,"Y",322,146,"Y",1119,458,"Y",822,317,"Y",346,159,"Y",193,98,"Y",59,23,"Y",9.2,11.1,126240,0.474,4.6,4.1,18.1,12,"Urban"
2,2023,6003,"California","CA","Alpine County",0,"Low HIV diagnoses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,3.7,110781,0.5276,6.4,6.5,9.8,0,"Rural"
3,2023,6005,"California","CA","Amador County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,70,"Y",24,118,"Y",3,18,"N",6,145,"N",10,218,"N",6,110,"N",3,59,"N",NA,NA,NA,NA,NA,NA,7.8,9,81526,0.4458,8.1,5.1,15.6,7,"Rural"
4,2023,6007,"California","CA","Butte County",15,"Low HIV diagnoses",9,"Y",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"N",9,NA,"N",6,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,18,"N",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141,80,"Y",126,144,"Y",16,18,"Y",32,75,"Y",57,209,"Y",27,109,"Y",15,71,"Y",10,44,"N",3,8,"N",18.3,9.7,68574,0.4846,7.7,5.2,19.7,33,"Urban"
5,2023,6009,"California","CA","Calaveras County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23,56,"Y",NA,NA,NA,NA,NA,NA,5,100,"N",10,224,"N",6,115,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,6.7,79877,0.443,7.2,4.2,18.9,4,"Rural"
6,2023,6011,"California","CA","Colusa County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,78,"Y",NA,NA,NA,NA,NA,NA,4,104,"N",6,214,"N",3,104,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,26.8,75149,0.4547,10.3,13,13,18,"Rural"
7,2023,6013,"California","CA","Contra Costa County",125,"High HIV diagnoses",13,"Y",23,"Y",109,3,"Y",16,30,"Y",25,9,"Y",35,22,"Y",56,NA,"N",5,0,NA,0,11.2,"N",4,0,NA,0,13,"Y",22,33,"Y",45,17,"Y",28,9,"Y",14,9,"Y",13,2,"N",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,10.4,125727,0.4708,5.6,4.1,17.4,13,"Urban"
8,2023,6015,"California","CA","Del Norte County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,31,136,"Y",26,215,"Y",6,56,"N",5,142,"N",11,328,"N",9,238,"N",4,134,"N",NA,NA,NA,NA,NA,NA,11.6,14.5,66780,0.4291,7.2,5.7,14.9,53,"Rural"
9,2023,6017,"California","CA","El Dorado County",6,"Low HIV diagnoses",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,123,74,"Y",114,137,"Y",10,12,"N",24,98,"Y",44,234,"Y",27,111,"Y",17,72,"Y",10,35,"N",4,9,"N",8.3,5.1,106190,0.4731,5.1,4,16.5,5,"Urban"
10,2023,6019,"California","CA","Fresno County",175,"High HIV diagnoses",21,"Y",34,"Y",141,8,"Y",34,50,"Y",19,14,"Y",33,25,"Y",107,15,"Y",14,0,NA,0,14.3,"N",2,0,NA,0,18,"Y",32,44,"Y",66,25,"Y",34,19,"Y",21,14,"Y",14,6,"N",8,0,756,92,"Y",683,167,"Y",73,18,"Y",131,72,"Y",327,218,"Y",166,120,"Y",71,64,"Y",51,49,"Y",12,9,"Y",18.7,21.4,71434,0.4735,7.9,7.5,19.3,24,"Urban"
11,2023,6021,"California","CA","Glenn County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,78,"Y",NA,NA,NA,NA,NA,NA,4,84,"N",8,227,"N",4,113,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,19.7,70487,0.4001,10.6,6.3,16.8,21,"Rural"
